visitante_id,fecha,dia_semana,semana,sucursal,variante,categoria,compro,monto_ars
VIS0000001,2026-03-02,Lunes,1,Centro,B,Bebidas y almacén,False,
VIS0000002,2026-03-02,Lunes,1,Centro,B,Bebidas y almacén,False,
VIS0000003,2026-03-02,Lunes,1,Centro,B,Bebidas y almacén,False,
VIS0000004,2026-03-02,Lunes,1,Centro,B,Bebidas y almacén,False,
VIS0000005,2026-03-02,Lunes,1,Centro,B,Bebidas y almacén,False,
VIS0000006,2026-03-02,Lunes,1,Centro,B,Bebidas y almacén,False,
VIS0000007,2026-03-02,Lunes,1,Centro,B,Bebidas y almacén,False,
VIS0000008,2026-03-02,Lunes,1,Centro,B,Bebidas y almacén,False,
VIS0000009,2026-03-02,Lunes,1,Centro,B,Bebidas y almacén,True,59943.71
VIS0000010,2026-03-02,Lunes,1,Centro,B,Bebidas y almacén,False,
VIS0000011,2026-03-02,Lunes,1,Centro,B,Bebidas y almacén,False,
VIS0000012,2026-03-02,Lunes,1,Centro,B,Bebidas y almacén,False,
VIS0000013,2026-03-02,Lunes,1,Centro,B,Bebidas y almacén,False,
VIS0000014,2026-03-02,Lunes,1,Centro,B,Bebidas y almacén,False,
VIS0000015,2026-03-02,Lunes,1,Centro,B,Bebidas y almacén,False,
VIS0000016,2026-03-02,Lunes,1,Centro,B,Bebidas y almacén,False,
VIS0000017,2026-03-02,Lunes,1,Centro,B,Bebidas y almacén,False,
VIS0000018,2026-03-02,Lunes,1,Centro,B,Bebidas y almacén,False,
VIS0000019,2026-03-02,Lunes,1,Centro,B,Bebidas y almacén,False,
VIS0000020,2026-03-02,Lunes,1,Centro,B,Bebidas y almacén,False,
VIS0000021,2026-03-02,Lunes,1,Centro,B,Bebidas y almacén,False,
VIS0000022,2026-03-02,Lunes,1,Centro,B,Bebidas y almacén,False,
VIS0000023,2026-03-02,Lunes,1,Centro,B,Bebidas y almacén,False,
VIS0000024,2026-03-02,Lunes,1,Centro,B,Bebidas y almacén,False,
VIS0000025,2026-03-02,Lunes,1,Centro,B,Bebidas y almacén,True,39155.53
VIS0000026,2026-03-02,Lunes,1,Centro,B,Bebidas y almacén,False,
VIS0000027,2026-03-02,Lunes,1,Centro,B,Bebidas y almacén,False,
VIS0000028,2026-03-02,Lunes,1,Centro,B,Bebidas y almacén,False,
VIS0000029,2026-03-02,Lunes,1,Centro,B,Bebidas y almacén,False,
VIS0000030,2026-03-02,Lunes,1,Centro,B,Bebidas y almacén,False,
VIS0000031,2026-03-02,Lunes,1,Centro,B,Bebidas y almacén,False,
VIS0000032,2026-03-02,Lunes,1,Centro,B,Bebidas y almacén,False,
VIS0000033,2026-03-02,Lunes,1,Centro,B,Bebidas y almacén,True,68415.33
VIS0000034,2026-03-02,Lunes,1,Centro,B,Bebidas y almacén,False,
VIS0000035,2026-03-02,Lunes,1,Centro,B,Bebidas y almacén,False,
VIS0000036,2026-03-02,Lunes,1,Centro,B,Bebidas y almacén,True,14516.59
VIS0000037,2026-03-02,Lunes,1,Centro,B,Bebidas y almacén,False,
VIS0000038,2026-03-02,Lunes,1,Centro,B,Bebidas y almacén,False,
VIS0000039,2026-03-02,Lunes,1,Centro,B,Bebidas y almacén,False,
